valor,tempo_lista_ns,tempo_dict_ns
853180,300800,3000
6773003,2000,2300
6303720,800,2200
4541648,200,1500
1573900,300,2000
499548,200,1300
6543324,100,1000
4689678,100,800
2908367,100,1000
3608042,100,1500
1100301,200,1200
5047167,100,800
3076835,100,5300
4138568,200,800
4463450,100,700
3639196,100,1200
428672,100,1200
1362680,200,1200
1772648,100,1400
4770223,100,900
5790232,100,800
6418719,200,900
191417,100,1000
1195116,100,1300
1714657,100,1200
3368063,100,2000
4533581,200,1000
1151841,200,1400
5911884,100,1100
716642,100,1100
6103836,100,1100
869352,100,1000
6847068,200,1000
2115349,100,1000
173414,100,1500
5542080,100,1400
5163712,200,2000
6100352,100,800
3106422,100,1100
2175264,100,1100
6940616,200,1100
161077,100,1100
6961644,200,900
4456860,100,1300
458314,200,1200
3176545,200,1900
5372301,200,1400
2411806,100,1600
5592399,200,1200
5519402,200,1000
318369,200,1500
3810399,200,900
4085267,200,1400
340636,300,1500
3602042,200,1300
6987064,200,1200
1809319,200,1100
733442,200,1200
576779,100,1500
5920232,100,700
5582423,200,900
2945249,100,1400
6025891,200,900
2685987,100,900
4353698,200,900
474009,100,1100
2181944,200,1100
6838685,200,800
1249973,100,1300
2821116,200,1400
2977031,100,1100
3132302,200,900
2079793,100,1100
3627882,100,1300
2050472,100,1200
6780807,200,900
5985174,200,900
5333257,200,1000
4026701,200,1000
4175524,200,1000
4295095,200,900
1309302,200,1200
5564907,100,1000
5779724,100,1300
41112,200,2200
1798008,200,1400
5072190,100,1300
3757361,100,1200
3567570,200,1000
3313969,200,1000
6424884,200,800
2011535,200,1700
4752185,100,1300
5204123,200,800
1869713,100,1300
1040790,100,1300
2306768,100,1500
5697349,100,1600
2161763,100,2000
6644630,100,1300
5743662,100,1000
3020624,100,1100
3414496,200,1700
6633665,100,1000
2672461,100,1400
5343131,100,1200
2476330,100,1700
6929919,200,1000
5788502,800,1200
4950602,200,900
3895052,200,1400
455200,100,1400
5817844,200,1000
2199670,200,1400
2581655,200,1600
871931,100,1100
6070970,200,1300
6573089,100,700
3793943,200,800
1110468,200,1400
3241474,500,900
5047201,200,1100
3710340,100,800
2968121,100,1300
4079296,200,1000
1647934,200,1500
5120209,100,1000
3178507,200,900
6116919,200,1200
4930527,200,1000
5084509,200,800
4475404,100,12000
5359695,900,1000
1207149,200,1300
1840225,100,1300
1371214,200,1000
3768978,100,1200
204095,100,1700
3653484,200,1400
5004420,100,1300
3692889,200,900
6214210,200,1100
2411270,200,1500
4851370,200,900
5427938,100,1400
4186645,100,1200
1595916,100,1200
5435117,200,1200
4201773,100,700
6460614,200,900
3789476,200,900
3920609,200,1200
2932745,200,1400
2138316,100,1100
1727376,200,1400
446453,100,1300
5666409,200,1300
5769898,200,1000
4545218,200,1100
1511587,100,1700
4175801,200,600
1301579,200,1200
533474,200,1300
1635706,200,1200
5228801,100,1200
3948667,200,1200
5605522,100,1000
2453522,100,1000
4980903,100,900
2451206,100,1500
4413448,200,1000
2472988,100,1100
6087474,100,1100
4659911,200,800
3439180,200,800
3164688,300,1000
3312636,100,1100
3786300,300,900
3516102,200,1000
1289446,200,1400
897400,100,1200
5010795,200,900
1461971,200,1300
4924809,300,800
5859830,100,1400
1829138,300,1200
1614806,300,1500
733091,200,1500
2425784,300,1400
691729,200,1500
2754818,200,1200
6531776,200,1000
1152267,200,1400
5548254,200,1100
4879845,200,800
4217427,200,800
4908777,200,1000
4901307,300,1100
2853269,300,1300
2807641,200,1400
2712713,200,1200
3907849,200,900
4844066,200,800
3566759,200,800
2718491,200,1300
4351393,300,1100
2743401,200,1400
2840980,200,1200
5679287,300,1000
1502879,200,1700
6688818,200,1100
6944930,300,1000
1212894,200,1400
5502889,200,1200
6314777,300,800
1598997,400,1100
118406,200,1500
3589157,200,800
5732806,100,1000
1639295,200,1300
895999,200,1200
4136469,200,1000
578099,200,1300
4929840,200,600
1810611,300,1700
4641872,200,1000
251183,100,1300
1964606,300,1600
5998074,200,800
152278,100,1300
882231,200,1100
4295421,100,600
3187079,100,1500
3180466,200,900
886226,200,1000
6386403,200,1000
6827734,200,700
